,keystroke_idx,time,type,prev_keystrokes
0,0,291,other,
1,1,456,other,
2,2,961,other,
3,3,1128,other,
4,4,1651,other,
5,5,1816,other,
6,6,2330,first,0
7,7,2507,other,
8,8,2611,other,
9,9,3050,first,2
10,10,3222,other,
11,11,3750,other,
12,12,3924,other,
13,13,4456,first,3
14,14,4627,other,
15,15,5177,other,
16,16,5338,other,
17,17,5886,first,3
18,18,6059,other,
19,19,6592,other,
20,20,6762,other,
21,21,7296,other,
22,22,7468,other,
23,23,8013,first,5
24,24,8196,other,
25,25,8758,first,1
26,26,8939,other,
27,27,9500,other,
28,28,9623,other,
29,29,9801,other,
30,30,10262,other,
31,31,10434,other,
32,32,11017,other,
33,33,11200,other,
34,34,11794,first,8
35,35,11949,other,
36,36,12449,other,
37,37,12602,first,2
38,38,13070,other,
39,39,13223,first,1
40,40,13688,other,
41,41,13839,other,
42,42,14303,other,
43,43,14454,other,
44,44,14923,first,4
45,45,15065,other,
46,46,15498,other,
47,47,15648,other,
48,48,16099,other,
49,49,16230,other,
50,50,16392,other,
51,51,16779,other,
52,52,16944,other,
53,53,17438,other,
54,54,17592,other,
55,55,18050,other,
56,56,18197,first,11
57,57,18669,other,
58,58,18818,other,
59,59,19278,other,
60,60,19409,other,
61,61,19572,other,
62,62,19952,other,
63,63,20093,other,
64,64,20553,other,
65,65,20700,other,
66,66,21148,other,
67,67,21279,first,10
68,68,21766,other,
69,69,21915,first,1
70,70,22403,other,
71,71,22557,other,
72,72,23013,other,
73,73,23164,other,
74,74,23637,first,4
75,75,23794,other,
76,76,24251,other,
77,77,24406,other,
78,78,24871,other,
79,79,25019,other,
80,80,25474,other,
81,81,25622,other,
82,82,26069,other,
83,83,26212,other,
84,84,26680,other,
85,85,26823,other,
86,86,27280,first,11
87,87,27428,other,
88,88,27894,other,
89,89,28121,other,
90,90,28585,other,
91,91,28736,other,
92,92,29231,other,
93,93,29387,other,
94,94,29867,other,
95,95,30014,other,
96,96,30473,other,
97,97,30619,first,10
98,98,31145,other,
99,99,31307,other,
100,100,31758,other,
101,101,31913,other,
102,102,32370,other,
103,103,32509,other,
104,104,32945,other,
105,105,33086,other,
106,106,33562,other,
107,107,33708,other,
108,108,34152,other,
109,109,34298,other,
110,110,34762,first,12
111,111,34907,other,
112,112,35375,first,1
113,113,35527,other,
114,114,35983,other,
115,115,36126,other,
116,116,36581,other,
117,117,36722,other,
118,118,37222,other,
119,119,37387,other,
120,120,37931,first,7
121,121,38092,other,
122,122,38593,other,
123,123,38751,other,
124,124,39234,other,
125,125,39385,other,
126,126,39852,other,
127,127,39995,other,
128,128,40409,other,
129,129,40554,other,
130,130,40976,other,
131,131,41115,other,
132,132,41523,other,
133,133,41691,other,
134,134,41832,first,13
135,135,42190,other,
136,136,42330,other,
137,137,42795,other,
138,138,42934,other,
139,139,43371,other,
140,140,43518,other,
141,141,43944,first,6
142,142,44076,other,
143,143,44526,other,
144,144,44663,other,
145,145,45073,first,3
146,146,45210,other,
147,147,45638,other,
148,148,45774,other,
149,149,46199,first,3
150,150,46343,other,
151,151,46766,other,
152,152,46913,other,
153,153,47357,other,
154,154,47503,other,
155,155,47963,other,
156,156,48118,other,
157,157,48602,other,
158,158,48764,other,
159,159,49251,other,
160,160,49417,other,
161,161,49912,other,
162,162,50073,first,12
163,163,50541,other,
164,164,50691,other,
165,165,51169,other,
166,166,51323,other,
167,167,51779,other,
168,168,51926,other,
169,169,52377,other,
170,170,52516,other,
171,171,52972,other,
172,172,53117,other,
173,173,53572,other,
174,174,53718,other,
175,175,54160,first,12
176,176,54298,other,
177,177,54850,other,
178,178,54990,other,
179,179,55476,first,3
180,180,55606,other,
181,181,56039,first,1
182,182,56178,other,
183,183,56656,other,
184,184,56793,other,
185,185,57255,first,3
186,186,57399,other,
187,187,57519,other,
188,188,57897,other,
189,189,58026,other,
190,190,58451,other,
191,191,58586,other,
192,192,59116,other,
193,193,59253,other,
194,194,59678,other,
195,195,59808,other,
196,196,60258,other,
197,197,60407,other,
198,198,60863,first,12
199,199,61010,other,
200,200,61460,other,
201,201,61603,other,
202,202,62054,other,
203,203,62266,other,
204,204,62730,other,
205,205,62876,other,
206,206,63334,other,
207,207,63483,other,
208,208,63959,other,
209,209,64114,other,
210,210,64565,first,11
211,211,64708,other,
212,212,65131,other,
213,213,65278,other,
214,214,65747,other,
215,215,65882,other,
216,216,66382,other,
217,217,66514,first,6
218,218,66968,other,
219,219,67103,other,
220,220,67561,first,2
221,221,67709,other,
222,222,68159,other,
223,223,68297,other,
224,224,68728,other,
225,225,68883,other,
226,226,69330,other,
227,227,69451,other,
228,228,69600,first,7
229,229,69967,other,
230,230,70107,other,
231,231,70537,other,
232,232,70683,other,
233,233,71134,other,
234,234,71285,other,
235,235,71740,first,6
236,236,71882,other,
237,237,72321,other,
238,238,72459,other,
239,239,72907,other,
240,240,73054,first,4
241,241,73499,first,0
242,242,73629,first,0
243,243,74134,first,0
244,244,74260,first,0
245,245,74677,first,0
246,246,74814,first,0
247,247,75242,first,0
248,248,75382,first,0
249,249,75774,first,0
250,250,75930,first,0
