,keystroke_idx,time,type,prev_keystrokes
0,0,128,other,
1,1,257,other,
2,2,608,other,
3,3,737,other,
4,4,867,other,
5,5,999,other,
6,6,1269,other,
7,7,1417,other,
8,8,1552,other,
9,9,1703,other,
10,10,2024,other,
11,11,2156,other,
12,12,2298,other,
13,13,2438,other,
14,14,2742,first,0
15,15,2889,other,
16,16,3031,other,
17,17,3179,other,
18,18,3473,other,
19,19,3618,other,
20,20,3780,other,
21,21,3926,other,
22,22,4173,other,
23,23,4302,other,
24,24,4447,other,
25,25,4627,other,
26,26,4896,first,11
27,27,5047,other,
28,28,5200,other,
29,29,5379,other,
30,30,5667,other,
31,31,5815,first,4
32,32,5968,other,
33,33,6126,other,
34,34,6459,other,
35,35,6598,other,
36,36,6767,other,
37,37,6914,first,5
38,38,7207,other,
39,39,7342,other,
40,40,7503,other,
41,41,7668,other,
42,42,8000,other,
43,43,8141,other,
44,44,8285,first,6
45,45,8431,other,
46,46,8779,other,
47,47,8920,other,
48,48,9069,other,
49,49,9242,other,
50,50,9669,other,
51,51,9787,other,
52,52,9912,other,
53,53,10027,other,
54,54,10357,other,
55,55,10503,other,
56,56,10666,other,
57,57,10825,first,12
58,58,11083,other,
59,59,11250,other,
60,60,11398,other,
61,61,11536,first,3
62,62,11888,other,
63,63,12002,other,
64,64,12167,other,
65,65,12298,other,
66,66,12597,other,
67,67,12738,other,
68,68,12890,other,
69,69,13025,other,
70,70,13382,other,
71,71,13512,other,
72,72,13668,other,
73,73,13819,other,
74,74,14250,first,12
75,75,14384,other,
76,76,14549,other,
77,77,14700,other,
78,78,15155,other,
79,79,15316,other,
80,80,15466,first,5
81,81,15613,other,
82,82,15925,other,
83,83,16114,first,2
84,84,16244,other,
85,85,16391,other,
86,86,16752,other,
87,87,16885,other,
88,88,17029,other,
89,89,17183,other,
90,90,17441,first,6
91,91,17598,other,
92,92,17745,other,
93,93,17897,other,
94,94,18232,other,
95,95,18374,other,
96,96,18508,other,
97,97,18665,other,
98,98,19058,other,
99,99,19200,other,
100,100,19348,other,
101,101,19488,other,
102,102,19898,other,
103,103,20063,other,
104,104,20212,other,
105,105,20378,other,
106,106,20863,other,
107,107,20998,first,16
108,108,21156,other,
109,109,21303,other,
110,110,21605,other,
111,111,21730,other,
112,112,21883,other,
113,113,22041,other,
114,114,22415,other,
115,115,22565,other,
116,116,22705,other,
117,117,22842,other,
118,118,23238,other,
119,119,23419,other,
120,120,23556,other,
121,121,23732,other,
122,122,24216,first,14
123,123,24353,other,
124,124,24515,other,
125,125,24663,other,
126,126,25048,first,3
127,127,25193,other,
128,128,25337,other,
129,129,25507,other,
130,130,25812,other,
131,131,25947,other,
132,132,26167,first,5
133,133,26297,other,
134,134,26703,other,
135,135,26835,other,
136,136,26989,other,
137,137,27142,other,
138,138,27456,other,
139,139,27606,other,
140,140,27762,other,
141,141,27882,other,
142,142,28363,other,
143,143,28505,other,
144,144,28668,other,
145,145,28803,other,
146,146,29116,other,
147,147,29265,other,
148,148,29400,other,
149,149,29527,other,
150,150,29939,first,17
151,151,30077,other,
152,152,30209,other,
153,153,30364,other,
154,154,30747,other,
155,155,30872,other,
156,156,31004,other,
157,157,31137,other,
158,158,31480,other,
159,159,31628,other,
160,160,31766,other,
161,161,31922,other,
162,162,32224,other,
163,163,32363,other,
164,164,32506,other,
165,165,32646,other,
166,166,32995,other,
167,167,33122,other,
168,168,33253,other,
169,169,33392,other,
170,170,33705,first,19
171,171,33832,other,
172,172,33956,other,
173,173,34105,other,
174,174,34420,other,
175,175,34558,other,
176,176,34684,other,
177,177,34834,other,
178,178,35130,other,
179,179,35252,other,
180,180,35382,other,
181,181,35496,other,
182,182,35868,other,
183,183,35997,other,
184,184,36137,other,
185,185,36278,other,
186,186,36622,other,
187,187,36762,other,
188,188,36907,other,
189,189,37053,other,
190,190,37369,other,
191,191,37525,first,20
192,192,37720,other,
193,193,37869,other,
194,194,38329,first,2
195,195,38484,other,
196,196,38640,other,
