,keystroke_idx,time,type,prev_keystrokes
0,0,136,first,0
1,1,242,other,
2,2,539,other,
3,3,649,other,
4,4,766,other,
5,5,877,other,
6,6,1203,other,
7,7,1312,first,6
8,8,1425,other,
9,9,1546,first,1
10,10,1893,other,
11,11,2096,first,1
12,12,2207,other,
13,13,2540,other,
14,14,2744,first,2
15,15,2851,other,
16,16,3183,first,1
17,17,3296,other,
18,18,3403,other,
19,19,3518,other,
20,20,3828,first,3
21,21,4021,first,0
22,22,4414,other,
23,23,4614,other,
24,24,4726,other,
25,25,5051,first,3
26,26,5153,first,0
27,27,5255,other,
28,28,5357,other,
29,29,5671,first,2
30,30,5880,other,
31,31,5987,other,
32,32,6291,other,
33,33,6398,other,
34,34,6603,other,
35,35,6928,other,
36,36,7124,other,
37,37,7336,other,
38,38,7634,first,8
39,39,7736,other,
40,40,7837,other,
41,41,7940,first,2
42,42,8229,other,
43,43,8421,other,
44,44,8523,first,2
45,45,8816,first,0
46,46,9015,other,
47,47,9121,other,
48,48,9406,other,
49,49,9598,other,
50,50,10000,other,
51,51,10101,other,
52,52,10203,other,
53,53,10304,other,
54,54,10583,other,
55,55,10772,first,9
56,56,10873,other,
57,57,11131,other,
58,58,11319,first,2
59,59,11705,other,
60,60,11880,first,1
61,61,11982,other,
62,62,12260,other,
63,63,12452,other,
64,64,12801,first,3
65,65,12989,first,0
66,66,13095,other,
67,67,13351,first,1
68,68,13527,other,
69,69,13875,other,
70,70,14054,other,
71,71,14162,first,3
72,72,14358,first,0
73,73,14536,other,
74,74,14815,first,1
75,75,14987,first,0
76,76,15274,other,
77,77,15453,other,
78,78,15741,other,
79,79,15929,first,3
80,80,16030,other,
81,81,16244,other,
82,82,16412,other,
83,83,16710,other,
84,84,16877,other,
85,85,17252,first,5
86,86,17432,other,
87,87,17777,other,
88,88,17970,other,
89,89,18310,first,3
90,90,18491,other,
91,91,18813,other,
92,92,19000,other,
93,93,19363,other,
94,94,19548,other,
95,95,19862,other,
96,96,20053,other,
97,97,20154,other,
98,98,20387,other,
99,99,20577,first,9
100,100,20684,other,
101,101,20900,other,
102,102,21095,other,
103,103,21198,other,
104,104,21419,first,4
105,105,21608,other,
106,106,21709,first,1
107,107,21967,first,0
108,108,22069,other,
109,109,22198,other,
110,110,22390,other,
111,111,22587,other,
112,112,22996,first,4
113,113,23183,first,0
114,114,23482,first,0
115,115,23662,first,0
116,116,23935,other,
117,117,24108,other,
118,118,24405,other,
119,119,24577,first,3
120,120,24868,other,
121,121,25044,other,
122,122,25354,other,
123,123,25531,other,
124,124,25805,first,4
125,125,25976,first,0
126,126,26257,other,
127,127,26451,other,
128,128,26719,other,
129,129,26887,first,3
130,130,27154,other,
131,131,27328,other,
132,132,27562,other,
133,133,27727,other,
134,134,27964,other,
135,135,28135,other,
136,136,28384,other,
137,137,28556,other,
138,138,28800,other,
139,139,28972,other,
140,140,29231,other,
141,141,29390,other,
142,142,29632,other,
143,143,29791,other,
144,144,30025,other,
145,145,30190,other,
146,146,30436,first,16
147,147,30593,first,0
148,148,30857,other,
149,149,31021,other,
150,150,31266,other,
151,151,31434,other,
152,152,31690,first,4
153,153,31864,first,0
154,154,32132,other,
155,155,32294,other,
156,156,32542,other,
157,157,32721,other,
158,158,32971,other,
159,159,33141,other,
160,160,33393,other,
161,161,33566,other,
162,162,33816,other,
163,163,33986,other,
164,164,34229,first,10
165,165,34405,other,
166,166,34664,first,1
167,167,34775,other,
168,168,34974,other,
169,169,35152,first,2
170,170,35325,other,
171,171,35437,first,1
172,172,35600,other,
173,173,35771,other,
174,174,36013,other,
175,175,36185,other,
176,176,36433,other,
177,177,36617,other,
178,178,36858,other,
179,179,37029,other,
180,180,37271,other,
181,181,37433,first,9
182,182,37674,other,
183,183,37838,other,
184,184,38086,first,2
185,185,38251,other,
186,186,38485,other,
187,187,38650,other,
188,188,38883,other,
189,189,39047,other,
190,190,39295,other,
191,191,39460,other,
192,192,39709,other,
193,193,39872,other,
194,194,40130,other,
195,195,40298,other,
196,196,40542,other,
197,197,40716,other,
198,198,40964,first,13
199,199,41142,other,
200,200,41399,other,
201,201,41575,other,
202,202,41823,first,3
203,203,41984,first,0
204,204,42237,other,
205,205,42403,other,
206,206,42661,other,
207,207,42838,other,
208,208,43125,other,
209,209,43315,first,5
210,210,43571,first,0
211,211,43757,other,
212,212,44065,first,1
213,213,44234,other,
214,214,44422,other,
215,215,44640,other,
216,216,44803,first,3
217,217,45058,first,0
218,218,45231,other,
219,219,45501,other,
220,220,45663,other,
221,221,45917,first,3
222,222,46085,first,0
223,223,46324,other,
224,224,46492,other,
225,225,46734,other,
226,226,46910,first,3
227,227,47156,first,0
228,228,47323,other,
229,229,47579,other,
230,230,47734,other,
231,231,47975,other,
232,232,48144,other,
233,233,48381,other,
234,234,48551,other,
235,235,48791,other,
236,236,48954,other,
237,237,49205,other,
238,238,49367,other,
239,239,49607,first,11
240,240,49774,other,
241,241,50015,first,1
242,242,50171,other,
243,243,50413,other,
244,244,50577,other,
245,245,50827,other,
246,246,50983,other,
247,247,51219,other,
248,248,51381,other,
249,249,51625,other,
250,250,51778,other,
251,251,52006,other,
252,252,52155,other,
253,253,52381,other,
254,254,52526,other,
255,255,52755,other,
256,256,52908,other,
257,257,53122,other,
258,258,53265,first,16
259,259,53472,other,
260,260,53613,other,
261,261,53829,first,2
262,262,53977,other,
263,263,54198,other,
264,264,54356,first,2
265,265,54573,other,
266,266,54720,other,
267,267,54944,other,
268,268,55094,first,3
269,269,55313,other,
270,270,55459,first,1
271,271,55678,other,
272,272,55823,first,1
273,273,56043,other,
274,274,56186,other,
275,275,56329,other,
276,276,56474,other,
277,277,56620,first,4
278,278,56830,other,
279,279,56971,first,1
280,280,57186,first,0
281,281,57325,other,
282,282,57546,first,1
283,283,57680,other,
284,284,57911,other,
285,285,58052,other,
286,286,58283,other,
287,287,58439,first,4
288,288,58655,other,
289,289,58798,other,
290,290,59010,other,
291,291,59154,other,
292,292,59369,other,
293,293,59522,first,5
294,294,59741,first,0
295,295,59890,other,
296,296,60085,other,
297,297,60228,other,
298,298,60427,other,
299,299,60567,other,
300,300,60768,first,5
301,301,60905,other,
302,302,61085,other,
303,303,61217,other,
304,304,61401,other,
305,305,61569,other,
306,306,61751,other,
307,307,61916,other,
308,308,62097,other,
309,309,62269,other,
310,310,62454,other,
311,311,62572,other,
312,312,62766,other,
313,313,62961,other,
314,314,63156,other,
315,315,63267,other,
316,316,63461,other,
317,317,63584,first,16
318,318,63803,other,
319,319,63944,other,
320,320,64160,other,
