,keystroke_idx,time,type,prev_keystrokes
0,0,213,first,0
1,1,378,other,
2,2,703,other,
3,3,867,other,
4,4,1116,other,
5,5,1293,first,4
6,6,1623,first,0
7,7,1792,other,
8,8,2137,other,
9,9,2308,other,
10,10,2639,first,3
11,11,2809,other,
12,12,3139,first,1
13,13,3316,other,
14,14,3664,other,
15,15,3839,other,
16,16,4191,first,3
17,17,4366,first,0
18,18,4707,other,
19,19,4878,first,1
20,20,5208,other,
21,21,5372,other,
22,22,5724,first,2
23,23,5896,first,0
24,24,6271,other,
25,25,6473,other,
26,26,6868,first,2
27,27,7058,other,
28,28,7445,other,
29,29,7632,other,
30,30,8027,first,3
31,31,8214,first,0
32,32,8604,other,
33,33,8789,other,
34,34,9163,other,
35,35,9354,other,
36,36,9731,other,
37,37,9910,other,
38,38,10256,first,6
39,39,10439,other,
40,40,10804,first,1
41,41,10983,other,
42,42,11428,first,1
43,43,11613,first,0
44,44,11959,other,
45,45,12142,other,
46,46,12492,other,
47,47,12678,other,
48,48,12930,other,
49,49,13111,other,
50,50,13470,other,
51,51,13648,first,7
52,52,13983,other,
53,53,14153,first,1
54,54,14507,other,
55,55,14680,first,1
56,56,15009,other,
57,57,15175,other,
58,58,15509,first,2
59,59,15676,other,
60,60,16007,first,1
61,61,16171,other,
62,62,16488,other,
63,63,16654,other,
64,64,16976,first,3
65,65,17131,other,
66,66,17448,first,1
67,67,17608,other,
68,68,17915,first,1
69,69,18072,other,
70,70,18395,other,
71,71,18555,other,
72,72,18807,first,3
73,73,18981,other,
74,74,19307,other,
75,75,19471,other,
76,76,19809,first,3
77,77,19977,first,0
78,78,20303,other,
79,79,20461,other,
80,80,20791,other,
81,81,20945,other,
82,82,21267,first,4
83,83,21425,other,
84,84,21725,other,
85,85,21885,other,
86,86,22189,other,
87,87,22350,other,
88,88,22678,other,
89,89,22867,other,
90,90,22975,other,
91,91,23269,other,
92,92,23470,first,9
93,93,23875,other,
94,94,24069,first,1
95,95,24454,first,0
96,96,24639,other,
97,97,25000,first,1
98,98,25186,other,
99,99,25580,other,
100,100,25760,first,2
101,101,26128,first,0
102,102,26304,other,
103,103,26679,first,1
104,104,26863,other,
105,105,27231,other,
106,106,27409,first,2
