,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,106,first,0,
1,1,229,other,,1.0
2,2,372,other,,2.0
3,3,583,other,,3.0
4,4,716,other,,4.0
5,5,954,other,,5.0
6,6,1082,other,,6.0
7,7,1323,first,6,
8,8,1446,other,,0.0
9,9,1660,first,1,
10,10,1779,other,,0.0
11,11,1976,other,,1.0
12,12,2085,other,,2.0
13,13,2397,other,,3.0
14,14,2562,first,4,
15,15,2889,first,0,
16,16,3045,other,,0.0
17,17,3173,other,,1.0
18,18,3296,other,,2.0
19,19,3512,other,,3.0
20,20,3640,other,,4.0
21,21,3837,other,,5.0
22,22,3999,other,,6.0
23,23,4218,first,7,
24,24,4379,first,0,
25,25,4601,other,,0.0
26,26,4741,first,1,
27,27,5026,other,,0.0
28,28,5143,other,,1.0
29,29,5810,first,2,
30,30,5993,other,,0.0
31,31,6246,other,,1.0
32,32,6422,other,,2.0
33,33,6526,other,,3.0
34,34,6679,first,4,
35,35,6846,first,0,
36,36,7105,other,,0.0
37,37,7282,other,,1.0
38,38,7517,other,,2.0
39,39,7737,first,3,
40,40,7948,first,0,
41,41,8140,other,,0.0
42,42,8288,first,1,
43,43,8492,other,,0.0
44,44,8626,other,,1.0
45,45,8842,other,,2.0
46,46,8979,other,,3.0
47,47,9121,other,,4.0
48,48,9259,other,,5.0
49,49,9440,other,,6.0
50,50,9737,other,,7.0
51,51,9868,other,,8.0
52,52,10066,other,,9.0
53,53,10176,other,,10.0
54,54,10543,first,11,
55,55,10658,other,,0.0
56,56,10859,first,1,
57,57,10977,other,,0.0
58,58,11177,other,,1.0
59,59,11291,first,2,
60,60,11505,other,,0.0
61,61,11908,first,1,
62,62,12017,other,,0.0
63,63,12209,other,,1.0
64,64,12316,other,,2.0
65,65,12497,other,,3.0
66,66,12609,other,,4.0
67,67,12779,other,,5.0
68,68,12916,other,,6.0
69,69,13058,other,,7.0
70,70,13250,other,,8.0
71,71,13531,other,,9.0
72,72,13670,first,10,
73,73,13884,other,,0.0
74,74,14035,other,,1.0
75,75,14202,first,2,
76,76,14373,other,,0.0
77,77,14609,first,1,
78,78,14725,other,,0.0
79,79,14907,other,,1.0
80,80,15060,other,,2.0
81,81,15188,other,,3.0
82,82,15379,first,4,
83,83,15497,other,,0.0
84,84,15688,other,,1.0
85,85,15806,first,2,
86,86,15907,other,,0.0
87,87,16031,first,1,
88,88,16157,other,,0.0
89,89,16362,other,,1.0
90,90,16486,other,,2.0
91,91,16705,other,,3.0
