,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,103,first,0,
1,1,416,other,,1.0
2,2,528,other,,2.0
3,3,653,other,,3.0
4,4,767,other,,4.0
5,5,1200,other,,5.0
6,6,1309,first,5,
7,7,1429,other,,0.0
8,8,1548,first,1,
9,9,2058,other,,0.0
10,10,2188,other,,1.0
11,11,2315,other,,2.0
12,12,2760,first,3,
13,13,2868,first,0,
14,14,2987,other,,0.0
15,15,3105,other,,1.0
16,16,3668,other,,2.0
17,17,3812,other,,3.0
18,18,4388,first,4,
19,19,4506,other,,0.0
20,20,4643,other,,1.0
21,21,4764,first,2,
22,22,5153,other,,0.0
23,23,5273,other,,1.0
24,24,5536,first,2,
25,25,6042,first,0,
26,26,6174,other,,0.0
27,27,6302,other,,1.0
28,28,6776,first,2,
29,29,6919,first,0,
30,30,7068,other,,0.0
31,31,7551,other,,1.0
32,32,7678,other,,2.0
33,33,8115,first,3,
34,34,8236,first,0,
35,35,8372,other,,0.0
36,36,8497,other,,1.0
37,37,8816,other,,2.0
38,38,8940,other,,3.0
39,39,9063,other,,4.0
40,40,9192,other,,5.0
41,41,9681,other,,6.0
42,42,9803,other,,7.0
43,43,9925,other,,8.0
44,44,10276,first,9,
45,45,10395,other,,0.0
46,46,10516,other,,1.0
47,47,10651,other,,2.0
48,48,11035,first,3,
49,49,11155,other,,0.0
50,50,11280,first,1,
51,51,11727,first,0,
52,52,11842,other,,0.0
53,53,11965,other,,1.0
54,54,12654,other,,2.0
55,55,12791,other,,3.0
56,56,12925,other,,4.0
57,57,13395,other,,5.0
58,58,13515,other,,6.0
59,59,14251,first,7,
60,60,14381,other,,0.0
61,61,14587,other,,1.0
62,62,15023,first,2,
63,63,15138,other,,0.0
64,64,15249,other,,1.0
65,65,15697,first,2,
66,66,15823,first,0,
67,67,15943,other,,0.0
68,68,16069,first,1,
69,69,16618,other,,0.0
70,70,16739,other,,1.0
71,71,17274,first,2,
72,72,17390,other,,0.0
73,73,17512,first,1,
74,74,17629,other,,0.0
75,75,18082,first,1,
76,76,18341,other,,0.0
77,77,18467,other,,1.0
78,78,18974,first,2,
79,79,19088,other,,0.0
80,80,19339,other,,1.0
81,81,19904,first,2,
82,82,20028,first,0,
83,83,20153,other,,0.0
84,84,20736,other,,1.0
85,85,20857,other,,2.0
86,86,20984,other,,3.0
87,87,21108,first,4,
88,88,21770,other,,0.0
89,89,22264,other,,1.0
90,90,22379,other,,2.0
91,91,22609,other,,3.0
92,92,22973,other,,4.0
93,93,23196,other,,5.0
94,94,23312,first,6,
95,95,23758,other,,0.0
96,96,23874,other,,1.0
97,97,23984,other,,2.0
98,98,24430,first,3,
99,99,24564,first,0,
100,100,24676,other,,0.0
101,101,25088,first,1,
102,102,25317,other,,0.0
103,103,25447,other,,1.0
104,104,25789,first,2,
105,105,26036,first,0,
106,106,26610,first,0,
107,107,26725,other,,0.0
108,108,26844,other,,1.0
109,109,27206,other,,2.0
110,110,27316,other,,3.0
111,111,27437,first,4,
112,112,27558,other,,0.0
113,113,27923,other,,1.0
114,114,28036,other,,2.0
115,115,28156,other,,3.0
116,116,28615,first,4,
117,117,28822,first,0,
118,118,28936,other,,0.0
119,119,30072,first,1,
120,120,30184,other,,0.0
121,121,30776,other,,1.0
122,122,30887,other,,2.0
123,123,31060,other,,3.0
124,124,31574,other,,4.0
125,125,31677,other,,5.0
126,126,31786,other,,6.0
127,127,31904,other,,7.0
128,128,32514,other,,8.0
129,129,32740,other,,9.0
130,130,33274,first,10,
131,131,33457,first,0,
132,132,33566,other,,0.0
133,133,33961,other,,1.0
134,134,34068,other,,2.0
135,135,34239,other,,3.0
136,136,34954,first,4,
137,137,35080,other,,0.0
138,138,35191,other,,1.0
139,139,35583,other,,2.0
140,140,35698,other,,3.0
141,141,35809,other,,4.0
142,142,35928,other,,5.0
143,143,36317,other,,6.0
144,144,36419,other,,7.0
145,145,36540,other,,8.0
146,146,36659,other,,9.0
147,147,37109,first,10,
148,148,37230,other,,0.0
149,149,37359,other,,1.0
150,150,37766,first,2,
151,151,38072,first,0,
152,152,38507,first,0,
153,153,38614,other,,0.0
154,154,38847,other,,1.0
155,155,39324,other,,2.0
156,156,39443,other,,3.0
157,157,39553,other,,4.0
158,158,39662,other,,5.0
159,159,40084,other,,6.0
160,160,40309,first,7,
161,161,40413,other,,0.0
162,162,40799,first,1,
163,163,40907,other,,0.0
164,164,41143,other,,1.0
165,165,41555,other,,2.0
166,166,41668,other,,3.0
167,167,41964,other,,4.0
168,168,42482,other,,5.0
169,169,42683,other,,6.0
170,170,43646,other,,7.0
171,171,44267,first,8,
172,172,44478,other,,0.0
173,173,44832,first,1,
174,174,44949,other,,0.0
175,175,45657,other,,1.0
176,176,45762,other,,2.0
177,177,46486,first,3,
178,178,47094,first,0,
179,179,47217,other,,0.0
180,180,47328,other,,1.0
181,181,47750,first,2,
182,182,47853,other,,0.0
183,183,48066,other,,1.0
184,184,48565,first,2,
185,185,49364,first,0,
186,186,49567,other,,0.0
187,187,50047,first,1,
188,188,50148,other,,0.0
189,189,50257,other,,1.0
190,190,50501,other,,2.0
191,191,51070,other,,3.0
192,192,51177,other,,4.0
193,193,51389,other,,5.0
194,194,52024,other,,6.0
195,195,52130,other,,7.0
196,196,52763,first,8,
197,197,52870,other,,0.0
198,198,52979,other,,1.0
199,199,53095,other,,2.0
200,200,53747,other,,3.0
201,201,54688,other,,4.0
202,202,54799,other,,5.0
203,203,55265,other,,6.0
204,204,55372,other,,7.0
205,205,55501,other,,8.0
206,206,55604,other,,9.0
207,207,55987,other,,10.0
208,208,56108,first,11,
209,209,56332,other,,0.0
210,210,56689,first,1,
211,211,56917,other,,0.0
212,212,57477,first,1,
213,213,57674,other,,0.0
214,214,57775,other,,1.0
215,215,58222,first,2,
216,216,58324,first,0,
217,217,58763,first,0,
218,218,58865,other,,0.0
219,219,58974,other,,1.0
220,220,59081,other,,2.0
221,221,59474,first,3,
222,222,59584,other,,0.0
223,223,59699,first,1,
224,224,60018,first,0,
225,225,60138,other,,0.0
226,226,60286,first,1,
227,227,60764,other,,0.0
228,228,60992,other,,1.0
229,229,61654,first,2,
230,230,61763,other,,0.0
231,231,62241,first,1,
232,232,62813,first,0,
233,233,62916,other,,0.0
234,234,63138,other,,1.0
235,235,63461,other,,2.0
236,236,63580,first,3,
237,237,63709,other,,0.0
238,238,64322,other,,1.0
239,239,64708,other,,2.0
