,subject,epochtype,prev_keystrokes,amp
0,01,first,0.0,-7.800256046013803e-06
0,01,first,11.0,-8.020881776044715e-06
0,01,first,3.0,2.712544440126092e-06
0,01,first,4.0,-4.69788591949004e-06
0,01,first,7.0,-3.7353191394294704e-06
0,01,first,12.0,-4.258592361515588e-06
0,01,first,3.0,-2.783478635137726e-06
0,01,first,13.0,-6.671805143317518e-06
0,01,first,6.0,-1.6022177323154412e-07
0,01,first,2.0,4.4777772766716834e-06
0,01,first,6.0,-6.859359460678307e-07
0,01,first,18.0,-1.5142222184276004e-06
0,01,first,14.0,-6.566170264300632e-06
0,01,first,2.0,-2.8412208810853676e-06
0,01,first,6.0,-4.143820029235536e-06
0,01,first,19.0,-2.623972250148654e-06
0,01,first,18.0,2.9111745429114916e-07
0,01,first,19.0,4.988976267365312e-06
0,01,first,3.0,2.2787278276660395e-06
0,01,first,14.0,1.3253204694289403e-05
0,01,first,17.0,1.6355864558035037e-06
0,01,first,10.0,-6.311669128283231e-06
0,01,first,4.0,5.288433473853931e-07
0,01,first,5.0,-1.7223038418655456e-06
0,01,first,20.0,-3.440748489285599e-06
0,01,first,0.0,-5.413382976055598e-06
0,01,first,0.0,1.5113761870170588e-06
0,01,first,0.0,6.4915530452304265e-06
0,01,first,0.0,-7.066017335293711e-06
0,01,first,0.0,-3.4550704223571906e-06
0,01,first,0.0,-3.3366481299405373e-06
0,01,first,0.0,-3.6242946382319333e-06
0,01,first,0.0,-9.864404496005995e-06
0,01,first,0.0,4.563405384929966e-06
0,01,first,0.0,2.3008306079140716e-06
0,01,first,0.0,5.176201890814506e-06
0,04,first,0.0,1.173286909761373e-05
0,04,first,16.0,1.2797141405624441e-05
0,04,first,6.0,7.1999669823223185e-06
0,04,first,7.0,9.167533031965528e-06
0,04,first,10.0,-1.616514465594163e-06
0,04,first,19.0,5.827971411539086e-06
0,04,first,6.0,-3.1528486677719534e-06
0,04,first,20.0,-1.1405620069935038e-05
0,04,first,11.0,1.3781052024973583e-06
0,04,first,5.0,9.752980708476065e-06
0,04,first,11.0,-1.085361610522442e-05
0,04,first,30.0,1.793825766880117e-05
0,04,first,0.0,1.062587690133417e-06
0,04,first,0.0,-7.541105787822744e-06
0,04,first,0.0,-5.091123941585667e-06
0,04,first,0.0,2.384696851246796e-06
0,04,first,0.0,-3.170947681812524e-06
0,04,first,0.0,5.513930166974508e-06
0,04,first,0.0,-3.6569107603807224e-06
0,04,first,0.0,3.857982933810591e-06
0,04,first,0.0,7.522376007626816e-06
0,04,first,0.0,-1.04894853494544e-07
0,04,first,0.0,-1.092223619202236e-06
0,04,first,0.0,-1.1657083436805099e-06
0,04,first,0.0,4.46048092170612e-06
0,04,first,0.0,5.733038101930611e-06
0,05,first,0.0,5.212508388770705e-06
0,05,first,10.0,5.6953130701408045e-06
0,05,first,4.0,4.994603614250082e-06
0,05,first,5.0,-4.507809636480589e-06
0,05,first,7.0,-2.2304050111819783e-05
0,05,first,8.0,-5.484887752673886e-06
0,05,first,4.0,-2.2804220255541924e-05
0,05,first,11.0,-2.267339166590116e-05
0,05,first,6.0,-8.445298034429368e-06
0,05,first,0.0,-7.431658256488542e-06
0,05,first,6.0,-9.190031505568186e-06
0,05,first,15.0,3.106014029678287e-06
0,05,first,15.0,-8.823316269020628e-06
0,05,first,0.0,-8.876178071659524e-06
0,05,first,5.0,-1.191747247099152e-05
0,05,first,10.0,3.5631409281854253e-06
0,05,first,8.0,-1.7561069161805183e-06
0,05,first,16.0,-8.729115961614298e-06
0,05,first,1.0,1.336545412616235e-05
0,05,first,10.0,-9.355069929976404e-06
0,05,first,10.0,-7.0095714161450614e-06
0,05,first,4.0,-6.2911280514931096e-06
0,05,first,4.0,3.919153376349034e-06
0,05,first,3.0,-1.4919368368282449e-05
0,05,first,13.0,-7.736900544033335e-06
0,05,first,14.0,-2.1173206227508166e-05
0,05,first,3.0,-2.326341018488165e-05
