delta,alpha,beta,gamma,theta,all,subject,musician,period
0.0,0.0,1.762439251617605e-13,1.837851013797337e-15,0.0,1.2458998714682584e-11,01,0,pre
0.0,0.0,2.214877716703753e-13,1.4621390852850218e-16,0.0,1.3453084775444992e-12,02,1,pre
0.0,0.0,1.6003953481912155e-13,9.51204155557128e-16,0.0,1.842921309810538e-12,03,0,pre
0.0,0.0,4.549794273165255e-13,4.3566450959450483e-16,0.0,7.546330021538845e-12,04,0,pre
0.0,0.0,2.639313876345669e-13,2.572802770134759e-16,0.0,1.1657614080892145e-11,05,0,pre
0.0,0.0,2.66880381855297e-13,2.559576715714649e-16,0.0,1.1180210400020086e-12,06,1,pre
0.0,0.0,1.3445928048535937e-13,4.929121297849279e-16,0.0,1.874268092036842e-12,07,1,pre
0.0,0.0,3.0435672744575573e-13,1.0154034231092673e-15,0.0,2.2880475111063294e-12,08,0,pre
0.0,0.0,2.8090364112734347e-13,7.381768512484075e-16,0.0,1.997312380738074e-12,09,0,pre
0.0,0.0,2.638421328591051e-13,3.3183311648442446e-16,0.0,1.9336745707854716e-12,10,0,pre
0.0,0.0,1.150362798221777e-13,4.776047889691152e-16,0.0,1.7287321911119796e-12,11,0,pre
0.0,0.0,8.77595296604505e-13,2.529820561979939e-16,0.0,5.318160451801088e-12,12,1,pre
0.0,0.0,9.240189489668746e-14,1.244710272283172e-16,0.0,8.45295049682765e-12,13,1,pre
0.0,0.0,1.1820774201970837e-13,1.6315832000060472e-16,0.0,4.651194672575224e-12,14,1,pre
0.0,0.0,1.5740048793089571e-13,3.3625850679172966e-16,0.0,2.4438307750389528e-12,15,1,pre
0.0,0.0,1.3217266351540934e-13,8.331094657636452e-17,0.0,2.0991606782080214e-12,16,0,pre
0.0,0.0,1.1027311552417571e-13,1.0607532545002963e-16,0.0,5.070850218621065e-12,17,1,pre
0.0,0.0,1.3797264408423186e-13,1.2150384668700372e-16,0.0,4.829206804479171e-12,18,1,pre
0.0,0.0,4.959656400943585e-14,6.572866879808679e-16,0.0,4.74503898002968e-12,19,0,pre
0.0,0.0,2.1298327994753927e-13,5.637271497178979e-16,0.0,3.2655402562941707e-12,20,0,pre
0.0,0.0,2.518245101628401e-13,1.9520522799690648e-16,0.0,7.516117980207765e-12,21,1,pre
0.0,0.0,1.7385163428179973e-13,3.741218677976387e-15,0.0,7.930685542908642e-12,01,0,post
0.0,0.0,1.0709145951639037e-12,5.398331094910477e-16,0.0,1.556264321573599e-11,02,1,post
0.0,0.0,4.838092948881532e-13,2.877415211366291e-16,0.0,6.920294602257523e-12,03,0,post
0.0,0.0,1.9779997081231473e-13,4.110102070177136e-16,0.0,3.8061591110730415e-12,04,0,post
0.0,0.0,1.7993921597235504e-13,3.203236962133853e-16,0.0,1.1594127714459092e-11,05,0,post
0.0,0.0,1.3854537269458973e-13,7.158571536468378e-16,0.0,8.106718053566968e-12,06,1,post
0.0,0.0,3.5409982534727644e-13,1.0830074601526713e-15,0.0,9.448368827333976e-12,07,1,post
0.0,0.0,2.371247812630814e-13,1.6010796414019346e-16,0.0,2.352966286946581e-12,08,0,post
0.0,0.0,5.618744192097333e-13,3.627817700361328e-16,0.0,9.880572292854313e-12,09,0,post
0.0,0.0,4.060897973964182e-13,6.361367584928841e-16,0.0,1.3307147166818727e-11,10,0,post
0.0,0.0,9.283243124335261e-14,2.766919010629349e-16,0.0,9.121246127951522e-12,11,0,post
0.0,0.0,2.0494475265217954e-13,1.2332289967364196e-15,0.0,8.717874750917123e-12,12,1,post
0.0,0.0,1.0577315979755441e-13,3.754658743454859e-16,0.0,9.703528146255856e-12,13,1,post
0.0,0.0,2.5461389465218444e-13,4.3837487448810857e-16,0.0,4.297540429200923e-12,14,1,post
0.0,0.0,5.853104967749854e-13,1.339791996961182e-15,0.0,1.4588166758605378e-11,15,1,post
0.0,0.0,5.793178323533393e-13,4.3205604017107803e-16,0.0,1.5275765008655365e-11,16,0,post
0.0,0.0,2.705648164380332e-13,7.925726379267895e-15,0.0,1.933460844651784e-11,17,1,post
0.0,0.0,1.6192819196277856e-13,1.1693882005536044e-15,0.0,3.118880614798397e-12,18,1,post
0.0,0.0,1.5540793848946852e-12,3.3947959382266934e-16,0.0,2.118417688781304e-11,19,0,post
0.0,0.0,5.008606005489627e-13,3.985273365063376e-16,0.0,6.120318089740162e-12,20,0,post
0.0,0.0,2.9978398443898926e-13,3.8052159350955483e-16,0.0,1.634857139774273e-11,21,1,post
