delta,alpha,beta,gamma,theta,all,subject,musician,period
5.5319749206245065e-12,3.033068892384766e-13,1.0655055983834422e-13,3.011511623539738e-16,1.1412426436884813e-12,1.1263272279010186e-11,01,0,pre
2.4858864385278704e-12,1.877873259755663e-13,1.383262779060648e-13,3.900717800379561e-16,5.323821572465626e-13,4.885632912562736e-12,04,0,pre
7.134535346957921e-13,2.4443849157776046e-13,6.633052785781866e-14,1.3568137802656553e-16,5.090549876862544e-13,2.53851854218074e-12,05,0,pre
2.251434239930405e-12,2.9492409802910947e-13,1.4647153044270641e-13,1.2714088657376537e-16,4.90021624868058e-13,4.5536438491958445e-12,06,1,pre
2.044661969343498e-12,3.5792881804019916e-13,9.77158756190638e-14,1.5771340481874627e-16,5.079954796755312e-13,4.7034490989207615e-12,07,1,pre
3.836910600644991e-12,2.929691148592106e-13,8.217329176795203e-14,7.478531489638813e-16,1.378206173885517e-12,7.820824193601764e-12,08,0,pre
3.061460845130811e-12,3.124163961280412e-13,1.6703528177438305e-13,3.140604402314378e-16,1.1305637356476428e-12,7.109853572814216e-12,09,0,pre
1.5693291407660686e-12,4.987708361744111e-13,2.2175680548281309e-13,2.286095075368207e-16,8.845930472894131e-13,5.954794059505161e-12,10,0,pre
2.22242926567207e-12,2.885293833835744e-13,1.343492115395615e-13,9.054407760858729e-17,4.881047183497261e-13,5.154731917108704e-12,11,0,pre
1.8645671246675994e-12,5.030031137986118e-13,2.4912929258991904e-13,1.2238006604952981e-15,7.111260567412186e-13,5.389301532684418e-12,12,1,pre
2.1740995987883137e-12,3.5111447185936007e-13,1.3216002755914498e-13,3.596689014873834e-16,6.417383853313571e-13,5.23890415447215e-12,13,1,pre
1.74355369542866e-12,3.076342772177027e-13,1.0042684410593139e-13,2.5651700894468576e-16,5.031228621884975e-13,4.085467268323195e-12,14,1,pre
7.505440549403278e-13,2.5475008947809985e-13,2.524074420640284e-13,1.2735742075701738e-16,4.764108067228291e-13,2.81397206351428e-12,15,1,pre
1.608621917775625e-12,3.7666416990280984e-13,1.4789539253668995e-13,1.437025200973711e-16,3.6772934301747186e-13,3.7922825371073755e-12,16,0,pre
2.421595103832744e-12,4.921481037216146e-13,1.3958507880883817e-13,3.565160396155946e-16,1.1256819390482325e-12,7.0029864781865116e-12,18,1,pre
4.140372237237415e-12,6.452328474646362e-13,1.3105057671374393e-13,4.034791274531304e-16,7.47195260479164e-13,8.72232041037153e-12,19,0,pre
2.3700380193858613e-12,7.566787021136882e-13,1.6077576176239928e-13,2.5995702683887286e-16,4.871130805378844e-13,6.354462906821406e-12,20,0,pre
1.8555667882262518e-12,2.0006339463117505e-13,2.1514448799694685e-13,2.6567620631107923e-16,8.167514421676018e-13,4.9818081307532894e-12,01,0,post
2.868295745480538e-12,7.274495307543286e-13,1.9058039551335798e-13,5.141028403980499e-16,1.1124175393422597e-12,8.294940934972421e-12,04,0,post
2.117684758415756e-12,1.4072093551957909e-12,3.1471958636778524e-13,3.5893435169336705e-16,1.312260977845347e-12,9.548163218917183e-12,05,0,post
4.672206612145243e-12,3.0992652533230233e-12,4.968255855302566e-13,2.969997775936625e-16,9.866923861366019e-13,1.4678761527455883e-11,06,1,post
2.907744560817968e-12,6.09153768834236e-13,2.110982901687497e-13,4.214295397857438e-16,4.869377087521675e-13,6.2154377599382555e-12,07,1,post
1.8954855035008088e-12,1.15350234453448e-12,9.71617740751071e-14,3.474590524092134e-16,6.442438076019292e-13,6.476490380913484e-12,08,0,post
2.0095962977837567e-12,3.9826601757249073e-13,1.025707264051758e-13,1.0744216212442799e-16,1.4637876369960782e-12,7.362628153002953e-12,09,0,post
3.5788014116656426e-12,2.321202920640629e-13,9.01474510126436e-14,2.5190664157147137e-16,4.830362838993519e-13,6.137402739932582e-12,10,0,post
1.586720443038117e-12,3.5921715212442027e-13,1.778537563410818e-13,2.1006315885029886e-16,6.282394008718404e-13,4.6313037480640314e-12,11,0,post
3.5158852591383085e-12,3.983959027084687e-13,2.7774620081451797e-13,1.4443800532009192e-16,7.461808480919338e-13,7.101728584328448e-12,12,1,post
8.214221063523286e-13,6.723672695579251e-13,1.5564278173941614e-13,3.0977743253207883e-16,5.598264867807753e-13,3.887487597509391e-12,13,1,post
7.816498561234783e-12,9.698990280745267e-13,2.1929107082966245e-13,2.936847695165258e-16,3.3251888722273896e-12,2.0362625566407273e-11,14,1,post
1.945090436877221e-12,1.2459068364922336e-12,9.329856618902443e-13,1.4305478454051259e-16,9.155023587890673e-13,8.5431123425293e-12,15,1,post
9.541157559810524e-13,6.563520355548867e-13,2.3312958876887017e-13,6.904586546451236e-16,1.3511032504965665e-12,5.77363844219443e-12,16,0,post
1.0144283728897738e-12,3.4203883949552565e-12,2.17254853575711e-13,1.2870409576744315e-15,1.1158437115167742e-12,1.0927424185902683e-11,18,1,post
4.976852150017e-12,4.421827210966791e-12,3.4581001803308117e-13,1.212380765813832e-15,8.98227404906488e-13,1.7373744678516217e-11,19,0,post
8.651233164206347e-12,2.186233441738451e-12,3.0308710106468436e-13,9.455320615593197e-16,1.0416540082363539e-12,1.945444074228832e-11,20,0,post
