delta,alpha,beta,gamma,theta,all,subject,musician,period
0.0,0.0,1.803075099969747e-10,3.2608544547520395e-12,0.0,1.1480143646396687e-09,01,0,pre
0.0,0.0,4.807161159244536e-11,8.748341454751867e-13,0.0,1.98031022019735e-10,03,0,pre
0.0,0.0,6.116600936420144e-11,1.111259999830668e-12,0.0,3.047366121556369e-10,04,0,pre
0.0,0.0,2.1901363095336737e-10,9.861191621422486e-13,0.0,1.0507174607195257e-09,05,0,pre
0.0,0.0,1.7731027900610877e-10,1.4852423160938582e-12,0.0,1.0395660051193496e-09,06,1,pre
0.0,0.0,4.187192700019929e-11,5.665441083858167e-13,0.0,1.4333514123542144e-10,07,1,pre
0.0,0.0,6.669129215923796e-11,3.3397776354818554e-12,0.0,2.4884656634273646e-10,08,0,pre
0.0,0.0,6.279516459017236e-11,9.666554602985921e-13,0.0,2.200997968775406e-10,09,0,pre
0.0,0.0,6.126359032535255e-11,2.5858261132534015e-12,0.0,2.7876203346223655e-10,10,0,pre
0.0,0.0,4.4747878958348933e-11,2.547883997423014e-12,0.0,1.8195929551049712e-10,11,0,pre
0.0,0.0,5.012543835718614e-11,2.519373327182227e-12,0.0,2.516326304091534e-10,12,1,pre
0.0,0.0,1.3382180022514325e-10,7.180004469894322e-13,0.0,3.4622422162444515e-10,13,1,pre
0.0,0.0,1.1789342391879015e-10,6.759707005226893e-13,0.0,7.785769802023105e-10,14,1,pre
0.0,0.0,7.409840059874638e-11,1.3299942869059592e-12,0.0,4.4354895338060844e-10,15,1,pre
0.0,0.0,7.708757494212324e-11,7.437816068189236e-13,0.0,4.293372429112588e-10,16,0,pre
0.0,0.0,5.6003033691440074e-11,2.8175470938307236e-12,0.0,2.2015339222379087e-10,17,1,pre
0.0,0.0,9.961410700977533e-11,5.144478823694371e-13,0.0,4.760491690411756e-10,18,1,pre
0.0,0.0,8.314093131738144e-11,1.2182708971960838e-12,0.0,4.2965996942262934e-10,19,0,pre
0.0,0.0,7.151886543976945e-11,5.395918112795535e-13,0.0,4.37620757844794e-10,20,0,pre
0.0,0.0,2.5696571622800936e-10,3.5121698878475923e-12,0.0,1.2692459660337732e-09,01,0,post
0.0,0.0,1.294990862371033e-10,3.515795057477833e-12,0.0,4.677796762017863e-10,03,0,post
0.0,0.0,3.1909228172245096e-10,1.134085409381359e-12,0.0,1.0438912829287493e-09,04,0,post
0.0,0.0,1.1381439299931258e-10,2.695272304526516e-12,0.0,3.6584927218805773e-10,05,0,post
0.0,0.0,2.877975687889367e-10,1.1959066232936035e-12,0.0,1.2007883750097089e-09,06,1,post
0.0,0.0,1.2503465809133798e-10,2.4190886255619682e-12,0.0,4.003487739107313e-10,07,1,post
0.0,0.0,9.263525145438331e-11,2.3245742005956206e-12,0.0,3.458476113796433e-10,08,0,post
0.0,0.0,1.1551763834405519e-10,2.0374811363791826e-12,0.0,7.429969393136405e-10,09,0,post
0.0,0.0,1.1403960661787801e-10,1.3807193840544333e-12,0.0,4.4221061321754465e-10,10,0,post
0.0,0.0,1.6723146100928067e-10,9.588924441403056e-13,0.0,6.646320722163984e-10,11,0,post
0.0,0.0,1.3753283828799845e-10,4.355441093590757e-12,0.0,4.586625573578985e-10,12,1,post
0.0,0.0,1.6392687225484194e-10,7.141575843870708e-12,0.0,6.861176646443383e-10,13,1,post
0.0,0.0,4.13637662859482e-10,3.728851727647186e-12,0.0,1.794688005436251e-09,14,1,post
0.0,0.0,4.1514816251746457e-10,2.1776718804631525e-12,0.0,1.0956278331463282e-09,15,1,post
0.0,0.0,3.929951603979875e-10,2.3782439214634862e-12,0.0,9.961307797192802e-10,16,0,post
0.0,0.0,1.3753574437749007e-10,2.019209685643624e-12,0.0,7.976921243735729e-10,17,1,post
0.0,0.0,9.028803219814642e-11,7.989662578385571e-13,0.0,4.2555162386880817e-10,18,1,post
0.0,0.0,1.5361946396075205e-10,2.079379488828498e-12,0.0,5.388493811828573e-10,19,0,post
0.0,0.0,1.738951659599096e-10,2.6884115652694677e-12,0.0,5.790915590617131e-10,20,0,post
